xcb-util-xrm 1.3-2
xcur2png 0.7.1-8
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-hyprland-git 1.3.1.r23.g72907822-1
xdg-desktop-portal-hyprland-git-debug 1.3.1.r23.g72907822-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xfconf 4.18.3-1
xkeyboard-config 2.42-1
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
